agency,gross,site_number,station,site_type,lat,long,dec_coord_datum_cd,district_cd,state,county_cd,map_nm,huc_cd
USGS,1615515,1615515,"OLD TOWN SPRING AT WINCHESTER, VA",SP,39.18776667,-78.17626389,NAD83,51,VA,840,WINCHESTER,2070004
USGS,1615522,1615522,"ROUSS SPRING AT WINCHESTER, VA",SP,39.1683333,-78.16,NAD83,51,VA,840,WINCHESTER,2070004
USGS,1616075,1616075,"FAY SPRING NEAR WINCHESTER, VA",SP,39.2050722,-78.13068889,NAD83,51,VA,69,WINCHESTER,2070004
USGS,1620817,1620817,"BEAVER CREEK SPRING AT SOURCE AT CLOVER HILL, VA",SP,38.45055556,-79.0402778,NAD83,51,VA,165,BRIERY BRANCH,2070005
USGS,1621014,1621014,"SPRING AT SPARKLING SPRINGS, VA",SP,38.55151008,-78.9522515,NAD83,24,VA,165,"SINGERS GLEN, VA",2070005
USGS,1621377,1621377,"SILVER LAKE SPRING AT DAYTON, VA",SP,38.4249722,-78.9416111,NAD83,51,VA,165,BRIDGEWATER,2070005
USGS,1622500,1622500,"CASTLE SPRING NEAR CHURCHVLLE, VA",SP,38.22651726,-79.1886447,NAD83,51,VA,15,CHURCHVILLE,2070005
USGS,162906055,162906055,"BEAR LITHIA SPRING NEAR ELKTON, VA",SP,38.43566667,-78.61813889,NAD83,51,VA,165,ELKTON EAST,2070005
USGS,1629990,1629990,"YAGERS SPRING NEAR LURAY, VA",SP,38.682063,-78.4588967,NAD83,51,VA,139,LURAY,2070005
USGS,1632500,1632500,"PLAINS MILL SPRING NEAR NEW MARKET, VA",SP,38.63622947,-78.7219645,NAD83,51,VA,165,NEW MARKET,2070006
USGS,1632802,1632802,"SMITH CREEK AT SPRING NEAR HARRISONBURG, VA",SP,38.47266667,-78.7750111,NAD83,51,VA,165,HARRISONBURG,2070006
USGS,1632835,1632835,"BIG SPRING NEAR LACEY SPRING, VA",SP,38.51205556,-78.7449722,NAD83,51,VA,165,ROCKINGHAM,2070006
USGS,163285551,163285551,"LACEY SPRING AT LACEY SPRING, VA",SP,38.54241667,-78.7646944,NAD83,51,VA,165,BROADWAY,2070006
USGS,163285591,163285591,"UNNAMED SPRING AT LACEY SPRING, VA",SP,38.53977778,-78.7673333,NAD83,51,VA,165,BROADWAY,2070006
USGS,163306620,163306620,"SPRING 1 TO NF SHENANDOAH RIVER NEAR EDINBURG, VA",SP,38.8085,-78.5824722,NAD83,51,VA,171,EDINBURG,2070006
USGS,163306650,163306650,"SPRING 2 TO NF SHENANDOAH RIVER NEAR EDINBURG, VA",SP,38.80866667,-78.5815556,NAD83,51,VA,171,EDINBURG,2070006
USGS,1635000,1635000,"MARLBORO SPRING AT MARLBORO, VA",SP,39.0832648,-78.3212734,NAD83,51,VA,69,MIDDLETOWN,2070006
USGS,1635070,1635070,"VAUCLUSE SPRING NEAR MIDDLETOWN, VA",SP,39.06242778,-78.26038889,NAD83,51,VA,69,MIDDLETOWN,2070006
USGS,1636310,1636310,"PROSPECT HILL SPRING AT BOYCE, VA",SP,39.0881617,-78.0427756,NAD83,51,VA,43,BOYCE,2070007
USGS,1636315,1636315,"CARTER HALL SPRING AT MILLWOOD, VA",SP,39.06816218,-78.0274974,NAD83,51,VA,43,BOYCE,2070007
USGS,1636320,1636320,"GIULIANI SPRING NR ASHBY GAP, VA",SP,39.06316236,-77.9377739,NAD83,51,VA,43,ASHBY GAP,2070007
USGS,1636330,1636330,"HORSEPEN SPRING NR BRIGGS, VA",SP,39.13677166,-78.0197199,NAD83,51,VA,43,STEPHENSON,2070007
USGS,1636340,1636340,"MORGAN SPRING NR BERRYVILLE, VA",SP,39.152049,-77.9338852,NAD83,51,VA,43,BERRYVILLE,2070007
USGS,1643610,1643610,"BIG SPRING NEAR LEESBURG, VA",SP,39.14288299,-77.545823,NAD83,51,VA,107,WATERFORD,2070008
USGS,2010000,2010000,"BOLAR SPRING AT BOLAR, VA",SP,38.21623559,-79.67365999,NAD83,51,VA,91,BURNSVILLE,2080201
USGS,2010500,2010500,"MUDDY RUN SPRING NEAR WARM SPRINGS, VA",SP,38.1070699,-79.75116139,NAD83,51,VA,17,WARM SPRINGS,2080201
USGS,2011000,2011000,"WARM SPRING AT WARM SPRINGS, VA",SP,38.0531814,-79.7808844,NAD83,51,VA,17,WARM SPRINGS,2080201
USGS,2011950,2011950,"JOHNSON SPRING NEAR HOT SPRINGS, VA",SP,37.91568037,-79.9725577,NAD83,51,VA,5,FALLING SPRING,2080201
USGS,2015500,2015500,"STUART SPRING NEAR MCDOWELL, VA",SP,38.3376236,-79.434487,NAD83,51,VA,91,MCDOWELL,2080201
USGS,2020000,2020000,"KARNES SPRING NEAR BUCHANAN, VA",SP,37.59874426,-79.6794852,NAD83,51,VA,23,BUCHANAN,2080201
USGS,2022000,2022000,"BIG SPRING AT KERRS CREEK, VA",SP,37.84735286,-79.4747617,NAD83,51,VA,163,LEXINGTON,2080202
USGS,2037570,2037570,"BYRD PARK SPRING AT RICHMOND, VA",SP,37.5401467,-77.4774845,NAD83,51,VA,760,RICHMOND,2080205
USGS,2037620,2037620,"WAYSIDE SPRING AT RICHMOND, VA",SP,37.5240359,-77.4838737,NAD83,51,VA,760,RICHMOND,2080205
USGS,2037640,2037640,"FONTICELLO SPRING AT RICHMOND, VA",SP,37.51681368,-77.4608173,NAD83,51,VA,760,RICHMOND,2080205
USGS,2054000,2054000,"BIG SPRINGS AT ELLISTON, VA",SP,37.2142992,-80.23309829,NAD83,51,VA,121,ELLISTON,3010101
USGS,3166500,3166500,"NEFF-LITZ SPRING NEAR RURAL RETREAT, VA",SP,36.84734145,-81.2734339,NAD83,51,VA,197,CEDAR SPRINGS,5050001
USGS,3166880,3166880,"WEST SP AT NAT FISH HAT NEAR GRAHAMS FORGE, VA",SP,36.9342877,-80.9031338,NAD83,51,VA,197,MAX MEADOWS,5050001
USGS,3166900,3166900,"BOILING SP AT NAT FISH HAT NR GRAHAMS FORGE, VA",SP,36.93067677,-80.896189,NAD83,51,VA,197,MAX MEADOWS,5050001
USGS,3166905,3166905,"HARKRADER SPRING NEAR GRAHAMS FORGE, VA",SP,36.93067678,-80.8942445,NAD83,51,VA,197,MAX MEADOWS,5050001
USGS,3172000,3172000,"WABASH SPRING NEAR POPLAR HILL, VA",SP,37.23901077,-80.765071,NAD83,51,VA,71,WHITE GATE,5050002
USGS,3173500,3173500,"FRANCIS SPRING NEAR BANE, VA",SP,37.26234554,-80.6889555,NAD83,51,VA,71,PEARISBURG,5050002
USGS,3207240,3207240,"MINE DRAIN TO DISMAL CR NEAR JEWELL VALLEY, VA",SP,37.2309463,-81.8076144,NAD83,51,VA,27,JEWELL RIDGE,5070202
USGS,3207290,3207290,"MINE DRAIN TO BURNT CHESTNUT CR NR KEEN MTN, VA",SP,37.24094559,-81.9006767,NAD83,51,VA,27,KEEN MOUNTAIN,5070202
USGS,3207528,3207528,"MINE DRAIN TO BURNT POPLAR CR NR HARMAN JCT, VA",SP,37.30927639,-82.1845822,NAD83,51,VA,27,HARMAN,5070202
USGS,3208028,3208028,"OLD SCHOOL HOUSE SPRING NEAR COUNCIL, VA",SP,37.05760997,-82.044296,NAD83,51,VA,27,BIG A MOUNTAIN,5070202
USGS,3208038,3208038,"CURVIN HARRIS SPRING NEAR COUNCIL, VA",SP,37.0770544,-82.0534634,NAD83,51,VA,27,BIG A MOUNTAIN,5070202
USGS,3208324,3208324,"BENTIN CHAFFIN SPRING NEAR TRAMMEL, VA",SP,36.99982787,-82.25291789,NAD83,51,VA,51,ST PAUL,5070202
USGS,3208326,3208326,"KNOT HOLLOW SPRING NEAR TRAMMEL, VA",SP,37.0070502,-82.2518068,NAD83,51,VA,51,NORA,5070202
USGS,3471000,3471000,"STEVE KEESING SPRING AT SUGAR GROVE, VA",SP,36.77428437,-81.41788719,NAD83,51,VA,173,ATKINS,6010102
USGS,3475500,3475500,"CEDARVILLE SPRING AT CEDARVILLE, VA",SP,36.7517792,-81.8567907,NAD83,51,VA,191,GLADE SPRING,6010102
USGS,3478000,3478000,"PERCY PRESTON SPRING NEAR WALLACE, VA",SP,36.64038649,-82.10151889,NAD83,51,VA,191,WYNDALE,6010102
USGS,3520500,3520500,"TAYLOR SPRINGS AT CEDAR BLUFF, VA",SP,37.07150307,-81.7553922,NAD83,51,VA,185,RICHLANDS,6010205
USGS,3522500,3522500,"WILL BROOKS SPRING AT WARDELL, VA",SP,37.0417803,-81.7998395,NAD83,51,VA,185,RICHLANDS,6010205
USGS,3524250,3524250,"WINSTON ISOM SPRING NEAR LIPPS, VA",SP,37.04065559,-82.67571338,NAD83,51,VA,195,FLAT GAP,6010205
USGS,3524252,3524252,"BILL BURLESON SPRING NEAR LIPPS, VA",SP,37.04037788,-82.67238,NAD83,51,VA,195,FLAT GAP,6010205
USGS,3524575,3524575,"CORDER BRANCH SPRING NEAR COEBURN, VA",SP,36.88565709,-82.4970977,NAD83,51,VA,195,COEBURN,6010205
USGS,3524815,3524815,"OSBORN ROCK SPRING NEAR NORTON, VA",SP,36.89621126,-82.584878,NAD83,51,VA,195,WISE,6010205
USGS,3524895,3524895,"STRAIGHT FORK SPRING AT KA, VA",SP,36.817321,-82.62404598,NAD83,51,VA,169,FORT BLACKMORE,6010205
USGS,3526500,3526500,"QUILLIN SPRINGS NEAR GATE CITY, VA",SP,36.69704359,-82.5770996,NAD83,51,VA,169,GATE CITY,6010205
USGS,3530444,3530444,"MINE DRAIN TO BAILEYS TRACE AT BONNY BLUE, VA",SP,36.82814498,-83.0779465,NAD83,51,VA,105,PENNINGTON GAP,6010206
USGS,3.63716E+14,363716076353701,58AS  1,SP,36.6212624,-76.5932846,NAD83,51,VA,800,CORAPEAKE,3010205
USGS,3.63748E+14,363748081423201,17BS  1,SP,36.63020335,-81.7088309,NAD83,51,VA,191,KONNAROCK,6010102
USGS,3.64031E+14,364031083040401,"CHEEK SPRING NEAR JONESVILLE, VA",SP,36.6754782,-83.067336,NAD83,51,VA,105,BEN HUR,6010206
USGS,3.64228E+14,364228082415901,"Johnson Spring Near Clinchport, VA",SP,36.7074866,-82.6991869,NAD83,47,VA,169,CLINCHPORT QUAD,6010205
USGS,3.64516E+14,364516080243401,27CS 2,SP,36.7545803,-80.4092294,NAD83,51,VA,63,WILLIS,5050001
USGS,3.64639E+14,364639082232801,27CS 1,SP,36.77763525,-80.3908938,NAD83,51,VA,141,WILLIS,3010103
USGS,3.64729E+14,364729081531101,"YELLOW SPRING NEAR LINDELL, VA",SP,36.79444557,-81.8789018,NAD83,51,VA,191,HAYTERS GAP,6010102
USGS,3.64754E+14,364754082355701,"BRICKLY SPRING NEAR FT. BLACKMORE, VA",SP,36.79821005,-82.5983509,NAD83,51,VA,169,FORT BLACKMORE,6010102
USGS,3.64816E+14,364816080214401,28CS  1,SP,36.80457909,-80.3620018,NAD83,51,VA,63,WOOLWINE,5050001
USGS,3.65152E+14,365152079184301,36CS  1,SP,36.8645861,-79.3120361,NAD83,51,VA,143,SPRING GARDEN,3010105
USGS,3.65154E+14,365154082150101,"SEVEN SPRING NEAR BANNERS CORNER, VA",SP,36.86532727,-82.24947249,NAD83,51,VA,167,MOLL CREEK,6010205
USGS,3.652E+14,365200079183001,36CS  2,SP,36.8667472,-79.3083583,NAD83,51,VA,143,SPRING GARDEN,3010105
USGS,3.65402E+14,365402081363901,Cave Spring near Broadford VA,SP,36.9008374,-81.6112825,NAD83,47,VA,173,CHATHAM QUAD,6010101
USGS,3.65548E+14,365548080111701,29DS  1,SP,36.93124614,-80.1853215,NAD83,51,VA,63,ENDICOTT,5050001
USGS,3.6555E+14,365550080534701,23DS  1,SP,36.93067677,-80.896189,NAD83,51,VA,197,MAX MEADOWS,5050001
USGS,3.703E+14,370300080064201,30ES  1,SP,37.050136,-80.1186505,NAD83,51,VA,67,CALLAWAY,3010103
USGS,3.7033E+14,370330078382601,41ES  1,SP,37.05841116,-78.6402675,NAD83,51,VA,37,CHARLOTTE COURT HOUS,3010102
USGS,3.70438E+14,370438082021901,14ES  4 LETHRIDGE SPG,SP,37.0773324,-82.0384626,NAD83,51,VA,27,,5070202
USGS,3.70507E+14,370507082020601,14ES  7,SP,37.08538808,-82.0348513,NAD83,51,VA,27,,5070202
USGS,3.70526E+14,370526082025501,14ES  2 HESS COW SPG,SP,37.0906657,-82.0484632,NAD83,51,VA,27,,5070202
USGS,3.70528E+14,370528082025701,14ES  1 HESS DRIVEWAY SPG,SP,37.09122126,-82.04901879,NAD83,51,VA,27,,5070202
USGS,3.70554E+14,370554082022001,14ES  5,SP,37.09844367,-82.0387405,NAD83,51,VA,27,,5070202
USGS,3.70626E+14,370626082022101,14ES  3 MARTIN BATH SPG,SP,37.1073326,-82.03901839,NAD83,51,VA,27,,5070202
USGS,3.70637E+14,370637082032401,14ES  6,SP,37.11038798,-82.0565194,NAD83,51,VA,27,,5070202
USGS,3.70639E+14,370639082025601,14ES  8,SP,37.1109436,-82.0487412,NAD83,51,VA,27,,5070202
USGS,3.70641E+14,370641082023801,14ES  9,SP,37.11149925,-82.0437409,NAD83,51,VA,27,,5070202
USGS,3.70713E+14,370713082051001,14ES 13 HARRY PRESLEY SPG,SP,37.1203877,-82.0859655,NAD83,51,VA,27,,5070202
USGS,3.70815E+14,370815082035501,14FS  7 ELBERT WAMPLER SP,SP,37.1376103,-82.0651311,NAD83,51,VA,27,,5070202
USGS,3.70906E+14,370906082053201,14FS  5 BARON SPG,SP,37.1517768,-82.0920771,NAD83,51,VA,27,,5070202
USGS,3.70947E+14,370947082041201,14FS  1,SP,37.16316605,-82.0698538,NAD83,51,VA,27,VANSANT,5070202
USGS,3.71013E+14,371013082052201,14FS  8,SP,37.17038815,-82.0892994,NAD83,51,VA,27,VANSANT,5070202
USGS,3.71103E+14,371103082050701,14FS  4,SP,37.1842772,-82.0851326,NAD83,51,VA,27,VANSANT,5070202
USGS,3.71117E+14,371117082060101,14FS  3,SP,37.188166,-82.1001334,NAD83,51,VA,27,VANSANT,5070202
USGS,3.71119E+14,371119080030401,30FS  1,SP,37.1759696,-80.0630942,NAD83,51,VA,161,BENT MOUNTAIN,3010101
USGS,3.71133E+14,371133082061701,14FS  2,SP,37.19261048,-82.1045781,NAD83,51,VA,27,VANSANT,5070202
USGS,3.71208E+14,371208076301501,58FS 50,SP,37.20236715,-76.5038396,NAD83,51,VA,199,YORKTOWN,2080206
USGS,3.71211E+14,371211076315301,58FS 14,SP,37.20320078,-76.5310627,NAD83,51,VA,199,YORKTOWN,2080206
USGS,3.71213E+14,371213076320401,58FS 25,SP,37.20375637,-76.5341184,NAD83,51,VA,199,YORKTOWN,2080206
USGS,3.71223E+14,371223076311501,58FS 27,SP,37.20653395,-76.5205068,NAD83,51,VA,199,YORKTOWN,2080206
USGS,3.71242E+14,371242076312101,58FS 28,SP,37.21181167,-76.5221735,NAD83,51,VA,199,YORKTOWN,2080206
USGS,3.71252E+14,371252076351701,58FS  6,SP,37.21459019,-76.5877311,NAD83,51,VA,700,YORKTOWN,2080206
USGS,3.71305E+14,371305076300801,58FS 26,SP,37.2182002,-76.5018951,NAD83,51,VA,199,YORKTOWN,2080107
USGS,3.71307E+14,371307076360401,58FS  7,SP,37.21875696,-76.600787,NAD83,51,VA,95,YORKTOWN,2080206
USGS,3.71315E+14,371315076293601,59FS  2,SP,37.2209778,-76.4930059,NAD83,51,VA,199,POQUOSON WEST,2080206
USGS,3.71321E+14,371321076312601,58FS 43,SP,37.22264487,-76.5235624,NAD83,51,VA,199,YORKTOWN,2080206
USGS,3.7133E+14,371330076305501,58FS 17,SP,37.2251447,-76.514951,NAD83,51,VA,199,YORKTOWN,2080107
USGS,3.71331E+14,371331076303801,58FS 51,SP,37.22542244,-76.51022869,NAD83,51,VA,199,YORKTOWN,2080107
USGS,3.71338E+14,371338076365601,58FS  9,SP,37.22736815,-76.6152319,NAD83,51,VA,95,YORKTOWN,2080206
USGS,3.71338E+14,371338076370101,58FS  8,SP,37.22736816,-76.61662088,NAD83,51,VA,95,YORKTOWN,2080206
USGS,3.71344E+14,371344076323801,58FS 29,SP,37.2290339,-76.543563,NAD83,51,VA,199,YORKTOWN,2080206
USGS,3.71355E+14,371355076310101,58FS 15,SP,37.23208909,-76.5168956,NAD83,51,VA,199,YORKTOWN,2080107
USGS,3.71355E+14,371355076311001,58FS 40,SP,37.2320891,-76.5191178,NAD83,51,VA,199,YORKTOWN,2080107
USGS,3.71402E+14,371402076313901,58FS 38,SP,37.23403364,-76.5271736,NAD83,51,VA,199,YORKTOWN,2080107
USGS,3.71403E+14,371403076313401,58FS 37,SP,37.23431139,-76.5257847,NAD83,51,VA,199,YORKTOWN,2080107
USGS,3.71406E+14,371406076373901,57FS  1,SP,37.23514599,-76.6271767,NAD83,51,VA,199,HOG ISLAND,2080107
USGS,3.71409E+14,371409076324301,58FS 13,SP,37.23597828,-76.544952,NAD83,51,VA,199,YORKTOWN,2080107
USGS,3.71409E+14,371409076324401,58FS 10,SP,37.23597828,-76.5452298,NAD83,51,VA,199,YORKTOWN,2080107
USGS,3.71411E+14,371411076323601,58FS 11,SP,37.2365338,-76.5430075,NAD83,51,VA,199,YORKTOWN,2080107
USGS,3.71413E+14,371413076345701,58FS  1,SP,37.23708984,-76.5821753,NAD83,51,VA,199,YORKTOWN,2080107
USGS,3.71424E+14,371424076351301,58FS  3,SP,37.2401454,-76.5866199,NAD83,51,VA,199,YORKTOWN,2080107
USGS,3.71434E+14,371434076321401,58FS 12,SP,37.2429225,-76.5368962,NAD83,51,VA,199,YORKTOWN,2080107
USGS,3.71434E+14,371434076351401,58FS  2,SP,37.24292316,-76.5868977,NAD83,51,VA,199,YORKTOWN,2080107
USGS,3.71436E+14,371436076340001,58FS  5,SP,37.24347845,-76.5663415,NAD83,51,VA,199,YORKTOWN,2080107
USGS,3.7145E+14,371450076325301,58FS  4,SP,37.24736705,-76.5477298,NAD83,51,VA,199,YORKTOWN,2080107
VA087,3.71457E+14,371457079563601,VA2770750 CRYSTAL SPRING       CRYSTAL SPRING,SP,37.24916667,-79.9433333,NAD83,51,VA,770,,3010101
USGS,3.71522E+14,371522076340301,58GS  2,SP,37.256256,-76.5671748,NAD83,51,VA,199,CLAY BANK,2080107
USGS,3.71524E+14,371524076480801,56GS  3,SP,37.25659167,-76.801925,NAD83,51,VA,95,NORGE,2080206
USGS,3.71539E+14,371539076452501,56GS  1,SP,37.26098067,-76.7566253,NAD83,51,VA,95,NORGE,2080206
USGS,3.71542E+14,371542081552401,15G 51,SP,37.26177868,-81.9231782,NAD83,51,VA,27,PATTERSON,5070202
USGS,3.71611E+14,371611076354101,58GS  1,SP,37.26986726,-76.5943979,NAD83,51,VA,199,CLAY BANK,2080107
USGS,3.7224E+14,372240080462501,RED SULPHUR SPRINGS1,SP,37.37762176,-80.772019,NAD83,54,VA,71,PETERSTOWN,5050002
USGS,3.72615E+14,372615077175701,52HS  1,SP,37.4377333,-77.2989974,NAD83,51,VA,87,DUTCH GAP,2080206
USGS,3.72634E+14,372634079355201,34HS  1,SP,37.44291524,-79.5978136,NAD83,51,VA,19,PEAKS OF OTTER,3010101
USGS,3.72651E+14,372651079370401,34HS  2,SP,37.44763708,-79.6175363,NAD83,51,VA,19,PEAKS OF OTTER,3010101
USGS,3.72741E+14,372741077054001,54HS  1,SP,37.4615352,-77.09413718,NAD83,51,VA,127,PROVIDENCE FORGE VA,2080206
USGS,3.72741E+14,372741077054002,54HS  2,SP,37.4615352,-77.09413718,NAD83,51,VA,127,PROVIDENCE FORGE VA,2080206
USGS,3.72741E+14,372741077054003,54HS  3,SP,37.4615352,-77.09413718,NAD83,51,VA,127,PROVIDENCE FORGE VA,2080206
USGS,3.72934E+14,372934077035801,54HS  4,SP,37.492675,-77.0662056,NAD83,51,VA,127,PROVIDENCE FORGE,2080206
USGS,3.7311E+14,373110079300401,34JS  1,SP,37.5195813,-79.5008688,NAD83,51,VA,19,ARNOLD VALLEY,3010101
USGS,3.73351E+14,373351079285601,34HS  3,SP,37.48208138,-79.56420269,NAD83,51,VA,19,PEAKS OF OTTER,3010101
USGS,3.75027E+14,375027079093001,37LS  1,SP,37.84096886,-79.1580854,NAD83,51,VA,163,MONTEBELLO,2080202
USGS,3.75055E+14,375055079284001,35LS  1,SP,37.8487417,-79.47753959,NAD83,51,VA,163,LEXINGTON,2080202
USGS,3.75203E+14,375203079085501,37LS  2,SP,37.8676354,-79.14836288,NAD83,51,VA,125,MONTEBELLO,2080203
USGS,3.75306E+14,375306079001401,38MS  1,SP,37.8851386,-79.0036362,NAD83,51,VA,15,BIG LEVELS,2070005
USGS,3.75524E+14,375524078575801,39MS  3,SP,37.92347189,-78.96585748,NAD83,51,VA,15,SHERANDO,2070005
USGS,3.75603E+14,375603078542101,39MS  1,SP,37.949861,-78.9053007,NAD83,51,VA,15,SHERANDO,2070005
USGS,3.75652E+14,375652078545701,39MS  2,SP,37.9479165,-78.9155787,NAD83,51,VA,15,SHERANDO,2070005
USGS,3.75807E+14,375807077322201,50MS001,SP,37.96874896,-77.5391504,NAD83,51,VA,33,HEWLETT,2080105
USGS,3.7581E+14,375810077320901,50MS002,SP,37.96958224,-77.5355391,NAD83,51,VA,33,HEWLETT,2080105
USGS,3.75812E+14,375812078535201,39MS  4,SP,37.9701386,-78.8975229,NAD83,51,VA,15,SHERANDO,2070005
USGS,3.80056E+14,380056078095201,45NS  1,SP,38.015695,-78.1641693,NAD83,51,VA,109,BOSWELLS TAVERN,2080106
USGS,3.80124E+14,380124077524801,47NS  1,SP,38.0235278,-77.8797199,NAD83,51,VA,109,MINERAL,2080106
USGS,3.8014E+14,380140077350301,50W 82G,SP,38.02791444,-77.5838743,NAD83,51,VA,107,LEESBURG,2070008
USGS,3.80255E+14,380255079195601,36NS  2,SP,38.04878517,-79.3320504,NAD83,51,VA,15,AUGUSTA SPRINGS,2080202
USGS,3.80311E+14,380311078555201,39NS  1,SP,38.05291675,-78.9315132,NAD83,51,VA,15,WAYNESBORO WEST,2070005
USGS,3.80313E+14,380313079465201,32NS  1,SP,38.05373695,-79.7808844,NAD83,51,VA,17,WARM SPRINGS,2080201
USGS,3.80331E+14,380331078533301,39NS  4,SP,38.0587474,-78.89224589,NAD83,51,VA,15,WAYNESBORO WEST,2070005
USGS,3.80336E+14,380336078533401,39NS  5,SP,38.060414,-78.8925237,NAD83,51,VA,820,WAYNESBORO WEST,2070005
USGS,3.80516E+14,380516077211801,52NS  2,SP,38.087875,-77.3549694,NAD83,51,VA,33,BOWLING GREEN,2080105
USGS,3.80517E+14,380517077211601,52NS  1,SP,38.0879472,-77.3543806,NAD83,51,VA,33,BOWLING GREEN,2080105
USGS,3.80533E+14,380533078531001,39NS  3,SP,38.0906908,-78.881135,NAD83,51,VA,15,WAYNESBORO WEST,2070005
USGS,3.80553E+14,380553077083901,53NS  8,SP,38.09815278,-77.1441944,NAD83,51,VA,33,SUPPLY,2080104
USGS,3.80555E+14,380555077085101,53NS  7,SP,38.0987472,-77.1476167,NAD83,51,VA,33,SUPPLY,2080104
USGS,3.80611E+14,380611079191201,36NS  1,SP,38.10318449,-79.3197588,NAD83,51,VA,15,AUGUSTA SPRINGS,2080202
USGS,3.80631E+14,380631077084901,53NS  5,SP,38.10869444,-77.1470833,NAD83,51,VA,33,SUPPLY,2080104
USGS,3.80631E+14,380631077084902,53NS  6,SP,38.10872778,-77.1469917,NAD83,51,VA,33,SUPPLY,2080104
USGS,3.80653E+14,380653077121201,53NS  1,SP,38.11473056,-77.203325,NAD83,51,VA,33,SUPPLY,2080104
USGS,3.80726E+14,380726077120501,53NS  4,SP,38.12399167,-77.2013417,NAD83,51,VA,33,SUPPLY,2080104
USGS,3.80728E+14,380728077120101,53NS  2,SP,38.12441389,-77.2002417,NAD83,51,VA,33,SUPPLY,2080104
USGS,3.80728E+14,380728077120401,53NS  3,SP,38.1244083,-77.200975,NAD83,51,VA,33,SUPPLY,2080104
