agency,gross,site_number,sample_dt,sample_tm,p00060,p00630,p00631
USGS,1632500,1632500,10/9/1952,,5.6,,
USGS,1636310,1636310,5/16/1986,9:00,,,3.1
USGS,1636310,1636310,9/4/1986,11:30,,,3.1
USGS,1636315,1636315,5/15/1986,16:30,,,3.2
USGS,1636320,1636320,9/5/1986,13:30,,,0.1
USGS,1636330,1636330,5/16/1986,11:00,,,3.5
USGS,1636340,1636340,5/15/1986,13:00,,,6
USGS,1643610,1643610,5/14/1969,10:55,3,,
USGS,2015500,2015500,10/7/1952,,2.6,,
USGS,2015500,2015500,10/4/1954,,2,,
USGS,2020000,2020000,10/17/1952,,3,,
USGS,2020000,2020000,10/4/1954,,1.4,,
USGS,2020000,2020000,2/9/1956,,7.1,,
USGS,2022000,2022000,10/7/1952,,4.9,,
USGS,2022000,2022000,10/8/1954,,3.9,,
USGS,2022000,2022000,2/9/1956,,5.7,,
USGS,2037620,2037620,3/24/1983,16:25,,,3.7
USGS,2037620,2037620,10/17/1983,9:00,,,2.7
USGS,2037640,2037640,10/17/1983,9:30,,,5.5
USGS,2054000,2054000,10/22/1952,,58,,
USGS,3166880,3166880,6/11/1976,,,,0.23
USGS,3166880,3166880,9/7/1976,15:30,,,0.07
USGS,3166880,3166880,1/31/1977,12:00,,,0.23
USGS,3166880,3166880,5/6/1977,10:40,,,0.24
USGS,3166880,3166880,7/26/1977,12:30,,,0.22
USGS,3166880,3166880,11/2/1977,12:35,,,0.22
USGS,3166880,3166880,1/31/1978,11:20,,,0.22
USGS,3166880,3166880,4/19/1978,10:20,,,0.25
USGS,3166880,3166880,7/19/1978,11:30,,,0.19
USGS,3166880,3166880,10/27/1978,11:10,,,0.22
USGS,3166880,3166880,12/20/1978,11:25,,,0.24
USGS,3166880,3166880,3/27/1979,11:30,,,0.29
USGS,3166900,3166900,6/11/1976,,,,0.02
USGS,3166900,3166900,9/7/1976,15:55,,,0.05
USGS,3166900,3166900,1/31/1977,13:15,,,0.22
USGS,3166900,3166900,5/6/1977,9:30,,,0.23
USGS,3166900,3166900,7/26/1977,13:45,,,0.21
USGS,3166900,3166900,11/2/1977,14:00,,,0.2
USGS,3166900,3166900,1/31/1978,10:40,,,0.24
USGS,3166900,3166900,4/19/1978,9:40,,,0.28
USGS,3166900,3166900,7/19/1978,10:40,,,0.21
USGS,3166900,3166900,10/27/1978,10:30,,,0.21
USGS,3166900,3166900,12/20/1978,,,,0.29
USGS,3166900,3166900,3/27/1979,10:25,,,0.3
USGS,3173500,3173500,11/10/1954,,0.6,,
USGS,3208028,3208028,6/6/1978,14:20,,,0.18
USGS,3208038,3208038,6/6/1978,11:50,,,0.07
USGS,3208324,3208324,6/7/1978,13:30,,,0.24
USGS,3208326,3208326,6/7/1978,10:40,,,0.01
USGS,3471000,3471000,11/5/1954,,1.9,,
USGS,3478000,3478000,11/4/1952,,0.5,,
USGS,3520500,3520500,11/7/1952,,29,,
USGS,3524250,3524250,6/8/1978,10:50,,,0.03
USGS,3524252,3524252,6/8/1978,11:20,,,0.11
USGS,3526500,3526500,12/15/1954,,1,,
USGS,3.63716E+14,363716076353701,8/5/1975,0:01,,,4.7
USGS,3.63748E+14,363748081423201,7/22/1999,12:00,,,0.1
USGS,3.64516E+14,364516080243401,7/25/1979,15:00,,,0.21
USGS,3.64639E+14,364639082232801,10/10/1974,,,,0.3
USGS,3.64639E+14,364639082232801,7/25/1979,12:45,,,0.57
USGS,3.64816E+14,364816080214401,7/25/1979,11:50,,,0.45
USGS,3.65548E+14,365548080111701,10/10/1974,16:45,,,0.01
USGS,3.65548E+14,365548080111701,7/24/1979,12:45,,,0.05
USGS,3.703E+14,370300080064201,10/10/1974,,,,0.2
USGS,3.703E+14,370300080064201,7/24/1979,10:30,,,0.35
USGS,3.7033E+14,370330078382601,9/1/1999,10:45,,,2.87
USGS,3.70438E+14,370438082021901,1/20/1981,10:00,,0.01,
USGS,3.70507E+14,370507082020601,2/18/1981,17:00,,0.82,
USGS,3.70526E+14,370526082025501,1/16/1981,12:00,,0.06,
USGS,3.70528E+14,370528082025701,1/16/1981,14:00,,0.51,
USGS,3.70554E+14,370554082022001,2/17/1981,16:00,,0.95,
USGS,3.70626E+14,370626082022101,1/16/1981,10:30,,0.32,
USGS,3.70637E+14,370637082032401,2/18/1981,16:00,,0.26,
USGS,3.70639E+14,370639082025601,2/20/1981,10:00,,1.6,
USGS,3.70641E+14,370641082023801,2/20/1981,11:30,,0.35,
USGS,3.70947E+14,370947082041201,4/9/1980,12:30,,,0.12
USGS,3.71119E+14,371119080030401,10/10/1974,11:25,,,0.03
USGS,3.71119E+14,371119080030401,7/24/1979,9:30,,,0.04
USGS,3.71211E+14,371211076315301,4/11/2000,14:30,,,0.033
USGS,3.71524E+14,371524076480801,5/13/2003,13:45,,,1.23
USGS,3.71524E+14,371524076480801,12/10/2003,10:45,,,1.05
USGS,3.72615E+14,372615077175701,10/28/1998,12:05,,,2.73
USGS,3.72634E+14,372634079355201,7/27/1974,14:55,,,0.16
USGS,3.72634E+14,372634079355201,7/19/1979,13:45,,,0.29
USGS,3.72651E+14,372651079370401,9/27/1974,14:10,,,0.05
USGS,3.72651E+14,372651079370401,7/19/1979,16:10,,,0.02
USGS,3.7311E+14,373110079300401,7/23/1979,13:15,,,0.68
USGS,3.73351E+14,373351079285601,9/27/1974,11:44,,,0.01
USGS,3.73351E+14,373351079285601,7/19/1979,15:10,,,0.05
USGS,3.75027E+14,375027079093001,7/20/1979,9:15,,,0.75
USGS,3.75203E+14,375203079085501,7/10/1979,10:25,,,1.3
USGS,3.75306E+14,375306079001401,9/26/1974,12:30,,,0.09
USGS,3.75306E+14,375306079001401,7/20/1979,11:30,,,0.25
USGS,3.75524E+14,375524078575801,9/26/1974,11:35,,,0.1
USGS,3.75524E+14,375524078575801,7/18/1979,15:45,,,0.15
USGS,3.75603E+14,375603078542101,9/26/1974,,,,0.36
USGS,3.75603E+14,375603078542101,7/18/1979,12:00,,,0.44
USGS,3.75652E+14,375652078545701,9/26/1974,,,,0.02
USGS,3.75652E+14,375652078545701,7/18/1979,12:30,,,0.15
USGS,3.75812E+14,375812078535201,7/9/1979,13:30,,,0.01
USGS,3.80124E+14,380124077524801,9/2/1999,10:30,,,0.34
USGS,3.8014E+14,380140077350301,6/24/1980,2:45,,,0.31
USGS,3.80255E+14,380255079195601,10/28/1999,10:10,,,0.06
USGS,3.80311E+14,380311078555201,3/11/1977,15:30,,,0.44
USGS,3.80311E+14,380311078555201,7/7/1999,14:00,,,0.59
USGS,3.80533E+14,380533078531001,3/11/1977,14:15,,,2.7
USGS,3.81108E+14,381108076551101,10/6/1998,11:00,,,4.94
USGS,3.81108E+14,381108076551101,2/3/1999,12:30,,,2.96
USGS,3.82229E+14,382229078014601,7/29/1980,10:00,,,2.6
USGS,3.82902E+14,382902077503001,6/17/1980,11:00,,,0.02
USGS,3.84822E+14,384822077315101,6/24/1980,10:00,,,0.08
USGS,3.90519E+14,390519078023701,12/11/1986,8:00,,,3.2
USGS,3.90618E+14,390618077583301,12/11/1986,11:10,,,3.7
USGS,3.90803E+14,390803077324401,11/6/1979,11:40,,,2.9
USGS,3.90834E+14,390834077550201,9/4/1986,16:00,,,4.5
USGS,3.90834E+14,390834077550201,5/20/2009,18:30,,,7.37
USGS,3.90841E+14,390841077524201,12/10/1986,9:30,,,4.4
USGS,3.64228E+14,364228082415901,11/13/1997,12:00,,,1.58
USGS,3.65402E+14,365402081363901,11/18/1997,14:00,,,1.9
USGS,1621014,1621014,4/15/1993,13:45,,,0.074
USGS,3.82948E+14,382948078575301,4/14/1999,15:00,,,4.11
USGS,3.83136E+14,383136078563401,4/14/1999,14:00,,,3.55
USGS,3.83149E+14,383149078570401,4/14/1999,11:30,,,5.97
USGS,3.83234E+14,383234078553201,4/14/1999,13:00,,,3.17
USGS,3.71208E+14,371208076301501,4/11/2000,10:45,,,0.579
USGS,3.71213E+14,371213076320401,4/11/2000,14:10,,,0.04
USGS,3.71223E+14,371223076311501,4/11/2000,13:00,,,0.055
USGS,3.71242E+14,371242076312101,4/11/2000,15:45,,,1.28
USGS,3.71305E+14,371305076300801,4/12/2000,8:45,,,0.224
USGS,3.71315E+14,371315076293601,4/12/2000,9:30,,,0.009
USGS,3.71321E+14,371321076312601,4/11/2000,17:00,,,0.286
USGS,3.7133E+14,371330076305501,4/11/2000,19:00,,,0.697
USGS,3.71331E+14,371331076303801,4/11/2000,18:30,,,0.43
USGS,3.71344E+14,371344076323801,4/11/2000,16:30,,,0.005
USGS,3.71355E+14,371355076311001,4/12/2000,10:45,,,0.026
USGS,3.71402E+14,371402076313901,4/12/2000,12:45,,,0.051
USGS,3.71403E+14,371403076313401,4/12/2000,12:15,,,0.051
USGS,3.75807E+14,375807077322201,3/14/2001,11:45,,,0.057
USGS,3.7581E+14,375810077320901,3/14/2001,16:30,,,0.723
USGS,3.64031E+14,364031083040401,11/17/1997,14:00,,,1.04
USGS,3.64729E+14,364729081531101,11/12/1997,14:00,,,2.13
USGS,3.64754E+14,364754082355701,11/13/1997,12:00,,,0.15
USGS,3.65154E+14,365154082150101,11/19/1997,11:00,,,0.73
USGS,3.83216E+14,383216078572801,8/19/1998,12:00,,,2.81
USGS,3.83216E+14,383216078572801,11/9/1998,10:00,,,2.27
USGS,3.83216E+14,383216078572801,2/2/1999,13:00,,,2.68
USGS,3.83216E+14,383216078572801,3/18/1999,17:30,,,4.73
USGS,3.83216E+14,383216078572801,4/14/1999,10:30,,,1.65
USGS,3.83216E+14,383216078572801,4/19/1999,13:30,,,1.79
USGS,3.83216E+14,383216078572801,6/8/1999,12:30,,,2.24
USGS,3.83216E+14,383216078572801,6/30/1999,14:20,,,2.24
USGS,3.83216E+14,383216078572801,8/11/1999,12:00,,,2.15
USGS,3.83216E+14,383216078572801,9/20/1999,12:30,,,2.87
USGS,3.83216E+14,383216078572801,11/3/1999,12:00,,,2.91
USGS,3.83216E+14,383216078572801,12/20/1999,13:30,,,1.36
USGS,3.83216E+14,383216078572801,2/2/2000,14:00,,,2.13
USGS,3.83216E+14,383216078572801,3/14/2000,12:15,,,1.14
USGS,3.83216E+14,383216078572801,4/17/2000,15:00,,,1.24
USGS,1632802,1632802,5/21/2012,19:05,,,5.28
USGS,1632802,1632802,7/18/2012,12:45,,,5.46
USGS,1632802,1632802,11/6/2012,18:00,,,5.61
USGS,1632802,1632802,1/29/2013,14:45,,,6.03
USGS,1632802,1632802,5/1/2013,10:30,,,7.13
USGS,1632802,1632802,5/28/2014,13:00,,,6.31
USGS,1632802,1632802,10/8/2014,18:00,,,6.23
USGS,1632802,1632802,3/18/2015,11:30,,,6.94
USGS,1632802,1632802,6/10/2015,19:15,,,6.64
USGS,1632802,1632802,3/3/2016,8:45,,,6.57
USGS,1632802,1632802,7/12/2016,16:30,,,5.69
USGS,1632802,1632802,9/20/2016,14:45,,,6.65
USGS,1632802,1632802,12/15/2016,11:15,,,6.22
USGS,1632802,1632802,3/21/2017,14:30,,,6.4
USGS,1632802,1632802,7/18/2017,16:30,,,6.52
USGS,1632802,1632802,11/14/2017,15:30,,,5.87
USGS,1632802,1632802,2/20/2018,15:45,,,6.02
USGS,1632802,1632802,8/29/2018,15:15,,,6.31
USGS,1632802,1632802,10/24/2018,8:00,,,6.08
USGS,1632802,1632802,2/5/2019,14:45,,,6.21
USGS,1632802,1632802,5/29/2019,14:15,,,5.73
USGS,1632802,1632802,8/15/2019,13:30,,,5.9
USGS,1632835,1632835,5/21/2012,20:00,,,1.2
USGS,1632835,1632835,7/19/2012,13:30,,,1.39
USGS,1632835,1632835,11/6/2012,17:15,,,1.17
USGS,1632835,1632835,1/29/2013,14:00,,,1.45
USGS,1632835,1632835,5/1/2013,9:30,,,1.54
USGS,1632835,1632835,5/28/2014,11:15,,,2.54
USGS,1632835,1632835,10/8/2014,17:00,,,1.47
USGS,1632835,1632835,3/18/2015,13:00,,,2.25
USGS,1632835,1632835,6/10/2015,18:00,,,1.5
USGS,1632835,1632835,3/3/2016,7:45,,,3.28
USGS,1632835,1632835,7/12/2016,18:30,,,1.96
USGS,1632835,1632835,9/20/2016,14:00,,,1.76
USGS,1632835,1632835,12/15/2016,10:30,,,1.44
USGS,1632835,1632835,3/21/2017,13:30,,,1.14
USGS,1632835,1632835,7/18/2017,17:15,,,1.72
USGS,1632835,1632835,11/14/2017,14:15,,,1.11
USGS,1632835,1632835,2/20/2018,14:45,,,1.12
USGS,1632835,1632835,8/29/2018,14:00,,,1.86
USGS,1632835,1632835,10/23/2018,19:00,,,2.27
USGS,1632835,1632835,2/5/2019,14:00,,,3.5
USGS,1632835,1632835,5/29/2019,13:30,,,2.58
USGS,1632835,1632835,8/15/2019,12:45,,,2.28
USGS,163285551,163285551,7/18/2012,10:00,,,4.21
USGS,163285551,163285551,11/6/2012,16:15,,,4.43
USGS,163285551,163285551,1/29/2013,12:30,,,4.44
USGS,163285551,163285551,5/1/2013,10:00,,,4.77
USGS,163285551,163285551,5/28/2014,9:45,,,4.94
USGS,163285551,163285551,10/8/2014,15:45,,,4.46
USGS,163285551,163285551,3/18/2015,14:30,,,4.68
USGS,163285551,163285551,6/10/2015,16:15,,,4.63
USGS,163285551,163285551,3/3/2016,14:45,,,5.43
USGS,163285551,163285551,7/12/2016,16:30,,,5.08
USGS,163285551,163285551,9/20/2016,12:45,,,4.57
USGS,163285551,163285551,12/15/2016,10:00,,,4.62
USGS,163285551,163285551,3/21/2017,12:00,,,4.57
USGS,163285551,163285551,7/18/2017,15:15,,,4.79
USGS,163285551,163285551,11/14/2017,13:00,,,4
USGS,163285551,163285551,2/20/2018,13:30,,,4.85
USGS,163285551,163285551,8/29/2018,12:45,,,5.48
USGS,163285551,163285551,10/23/2018,17:00,,,5.55
USGS,163285551,163285551,2/5/2019,13:00,,,5.58
USGS,163285551,163285551,5/29/2019,12:45,,,4.62
USGS,163285551,163285551,8/15/2019,11:45,,,4.69
USGS,163285591,163285591,7/18/2012,9:00,,,0.04
USGS,163285591,163285591,11/6/2012,15:00,,,0.298
USGS,163285591,163285591,1/29/2013,12:00,,,1.45
USGS,162906055,162906055,10/18/2016,9:45,,,0.48
